,mp,enthalphy,en,ar
Ag,961.78,11.3,1.93,1.72
Al,660.323,10.7,1.61,1.84
Au,1064.18,12.5,2.54,1.66
B,2075,50,2.04,1.92
Be,1287,7.95,1.57,1.53
C,3550,105,2.55,1.7
Ca,842,8.53,1,2.31
Ce,798,5.5,1.12,2.35
Co,1495,16.2,1.88,1.92
Cr,1907,20.5,1.66,1.89
Cu,1084.62,13.1,1.9,1.4
Dy,1412,11.1,1.22,2.29
Er,1529,19.9,1.24,2.35
Fe,1538,13.8,1.83,1.94
Ga,29.76,5.59,1.81,1.87
Gd,1313,10,1.2,2.37
Hf,2233,25.5,1.3,2.12
Ho,1474,17,1.23,2.16
In,156.6,3.26,1.78,1.93
La,918,6.3,1.1,2.4
Mg,650,8.7,1.31,1.73
Mn,1246,13.2,1.55,1.97
Mo,2623,36,2.16,2.09
Nb,2477,26.8,1.6,2.07
Nd,1024,7.1,1.14,2.29
Ni,1455,17.2,1.91,1.63
P,44.15,0.64,2.19,1.8
Pd,1554.9,16,2.2,2.02
Pr,935,6.9,1.13,2.39
Sc,1541,16,1.36,2.11
Si,1414,50.2,1.9,2.1
Sn,231.93,7,1.96,2.17
Ta,3017,36,1.5,2.17
Ti,1668,18.7,1.54,1.87
Tm,1545,16.8,1.25,2.27
Y,1526,11.4,1.22,2.19
Zn,419.5,7.35,1.65,1.39
Zr,1855,21,1.33,1.86
Li,180.5,3,0.98,1.82
Sr,777,8,0.95,2.49
Ba,727,8,0.89,2.68
V,1910,22.8,1.63,1.79
W,3422,35,2.36,2.1
Ru,2334,25.7,2.2,2.07
Rh,1964,21.7,2.28,1.95
Ir,2446,26,2.2,2.02
Pt,1768.3,20,2.28,2.09
Pb,327.46,4.77,2.33,2.02
Sb,630.63,19.7,2.05,2.06
U,1133,14,1.38,2.4
Sm,1072,8.5,1.17,2.29
Tb,1356,10.8,1.2,2.21
Yb,819,7.7,1.1,2.42
Lu,1652,22,1.27,2.21
